Community Name,SPA,SD,CD,SSD,AD,USCD,totStreetSingAdult,totStreetFamHH,totStreetFamMemb,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,totEsAdultSingAdult,totESAdultFamHH,totEsAdultFamMemb,totEsYouthSingYouth,totESYouthFamHH,totEsYouthFamMemb,totEsYouthUnaccYouth,totThAdultSingAdult,totTHAdultFamHH,totThAdultFamMemb,totThYouthSingYouth,totTHYouthFamHH,totThYouthFamMemb,totThYouthUnaccYouth,totShAdultSingAdult,totSHAdultFamHH,totShAdultFamMemb,totShYouthSingYouth,totSHYouthFamHH,totShYouthFamMemb,totShYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
Silver Lake,4,1,13,24,43,28,25,0,0,8,21,12,7,31,13,37,24,11,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,160
Skid Row,4,1,14,24,53,34,786,1,3,27,7,1,409,169,42,13,2,645,272,744,28,80,35,8,20,0,950,12,32,17,1,2,0,0,0,0,0,0,0,0,1763,879,1001,0,1880,3643
South Central,6,1,9,30,59,37,125,2,1,17,20,37,89,150,27,35,70,141,243,134,0,0,2,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,642,136,44,0,180,822
South El Monte,3,1,0,22,57,38,8,0,0,0,1,11,0,1,0,2,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33
South Gate,7,1,0,33,59,44,41,0,0,18,16,8,1,3,30,26,16,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,120
South Park,6,2,9,30,59,40,451,7,23,37,50,86,137,124,60,85,166,216,199,38,7,22,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,62,0,0,62,1262
South Pasadena,3,5,0,22,41,27,2,0,0,0,2,0,1,1,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
South San Gabriel,3,1,0,22,49,27,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
South San Jose Hills,3,1,0,22,57,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Vermont,6,2,8,30,59,37,83,0,0,12,21,24,12,18,20,36,48,20,30,0,0,0,0,0,0,0,9,4,8,0,0,0,0,0,0,0,0,0,0,0,237,0,17,0,17,254
South Whittier,7,4,0,32,57,38,28,0,0,8,18,28,1,3,14,29,54,2,5,0,0,0,0,0,0,0,0,-2,0,91,4,6,0,0,0,0,0,0,0,0,132,0,97,0,97,229
Stevenson Ranch,2,5,0,27,38,25,1,0,0,0,0,3,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
Studio City,2,3,2,18,46,30,48,0,0,2,13,14,0,7,4,24,27,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,115
Sun Valley,2,5,2,18,39,28,125,0,0,14,18,72,10,58,23,29,137,18,94,120,13,47,0,0,0,0,139,37,118,47,0,0,0,0,0,0,0,0,0,0,426,167,304,0,471,897
Sunland-Tujunga,2,5,7,25,39,28,61,0,0,9,5,30,13,7,15,9,57,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,175
Sylmar,2,5,7,18,39,29,79,2,8,15,6,31,5,17,24,11,61,9,29,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,16,0,16,237
Tarzana,2,3,5,27,45,30,46,0,0,0,4,17,0,1,0,7,33,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,88
Temple City,3,5,0,22,49,27,7,0,0,1,0,1,0,5,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19
Topanga,2,3,0,27,45,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torrance,8,4,0,35,66,43,37,0,0,8,13,9,1,6,14,25,18,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,107
Unincorporated Antelope Valley,1,5,0,21,36,25,79,1,2,11,38,479,16,232,18,66,915,25,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478,0,0,0,0,1478
Unincorporated Catalina,8,4,0,26,70,47,0,0,0,0,0,10,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19
Unincorporated Compton,6,2,0,35,64,44,10,0,0,1,2,37,0,2,2,4,71,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,91
Unincorporated East Whittier,7,4,0,32,57,38,4,0,0,2,0,0,10,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23
Unincorporated Whittier,7,4,0,22,57,38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
Universal City,2,3,0,18,46,30,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
University Park,6,1,1,30,59,37,20,0,0,0,7,13,0,0,0,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,57
US Department of Veterans Affairs West LA Campus,5,3,0,26,50,33,5,0,0,1,5,12,0,0,2,9,23,0,0,45,0,0,0,0,0,0,299,0,0,1,0,0,0,0,0,0,0,0,0,0,39,45,300,0,345,384
Valinda,3,1,0,22,48,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
Valley Village,2,3,2,18,46,30,17,0,0,4,3,11,1,6,6,6,21,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62
Van Nuys,2,3,2,18,46,29,133,0,0,9,15,44,43,52,14,26,85,69,85,0,0,0,0,0,0,15,42,0,0,1,0,0,0,0,0,0,0,0,0,0,412,15,43,0,58,470
Venice,5,3,11,26,50,33,228,0,0,53,92,84,32,99,82,157,160,51,159,0,0,0,0,0,0,0,2,8,16,0,0,0,0,0,0,0,0,0,0,0,837,0,18,0,18,855
